CensusTract,State,County,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
4001942600,Arizona,Apache,0,1578,447,0,0,0,1,1,1,1,0,1,47.4,25313,1,1,1,0,0,1,1,1,1578.000014,1578.000014,618.4988348,1280.515201,1280.515201,484.0665496,1578.000014,1.000000009,1280.515201,0.811479849,531.0000047,0.336501904,180.0000008,0.114068442,12.99999983,0.008238276,0.999999969,0.000633714,0,0,0,0,1550.000013,0.982256029,14.00000026,0.00887199,34.99999998,0.022179975,72.23092392,0.161590434,167.9479783,0.375722547,1578.000014,1.000000009,1280.515201,0.811479849,531.0000047,0.336501904,180.0000008,0.114068442,12.99999983,0.008238276,0.999999969,0.000633714,0,0,0,0,1550.000013,0.982256029,14.00000026,0.00887199,34.99999998,0.022179975,72.23092392,0.161590434,167.9479783,0.375722547,1578.000014,1.000000009,1280.515201,0.811479849,531.0000047,0.336501904,180.0000008,0.114068442,12.99999983,0.008238276,0.999999969,0.000633714,0,0,0,0,1550.000013,0.982256029,14.00000026,0.00887199,34.99999998,0.022179975,72.23092392,0.161590434,167.9479783,0.375722547,618.4988348,0.391951099,484.0665496,0.306759537,202.3105005,0.128206908,87.90427071,0.055706128,10.00389816,0.006339606,0.153711365,9.74E-05,0,0,0,0,602.9730159,0.382112177,5.368209716,0.003401907,11.30742277,0.007165667,31.27528357,0.069967077,73.75485657,0.164999679,1187,531,180,13,1,0,0,1550,14,35,56,130
4001942700,Arizona,Apache,0,5628,1700,0,0,0,1,1,1,1,1,1,37.9,28983,1,1,1,0,0,1,1,1,5628.000015,5628.000015,5529.519738,4064.794212,4064.794212,3999.07287,5628.000015,1.000000003,4064.794212,0.722244885,1867.000005,0.331734187,644.000002,0.114427861,95.9999993,0.017057569,2.000000031,0.000355366,11.99999962,0.002132196,1.000000011,0.000177683,5444.000027,0.96730633,73.00000054,0.01297086,97.00000007,0.017235252,220.3960744,0.12964475,395.3488385,0.23255814,5628.000015,1.000000003,4064.794212,0.722244885,1867.000005,0.331734187,644.000002,0.114427861,95.9999993,0.017057569,2.000000031,0.000355366,11.99999962,0.002132196,1.000000011,0.000177683,5444.000027,0.96730633,73.00000054,0.01297086,97.00000007,0.017235252,220.3960744,0.12964475,395.3488385,0.23255814,5628.000015,1.000000003,4064.794212,0.722244885,1867.000005,0.331734187,644.000002,0.114427861,95.9999993,0.017057569,2.000000031,0.000355366,11.99999962,0.002132196,1.000000011,0.000177683,5444.000027,0.96730633,73.00000054,0.01297086,97.00000007,0.017235252,220.3960744,0.12964475,395.3488385,0.23255814,5529.519738,0.98250173,3999.07287,0.710567319,1835.559558,0.326147754,631.1782163,0.112149648,94.9848542,0.016877195,2.000000031,0.000355366,11.99999962,0.002132196,1.000000011,0.000177683,5347.397521,0.950141706,72.1373742,0.012817586,96.84733717,0.017208127,215.3437272,0.126672781,388.7328847,0.228666403,3467,1867,644,96,2,12,1,5444,73,97,164,290
4001944000,Arizona,Apache,0,6043,1821,0,3,0.0004964,1,1,0,1,1,1,40.8,38125,1,1,0,0,0,1,0,1,1508.727478,1508.727478,208.8090154,1232.986648,1232.986648,170.647899,6042.999983,0.999999997,3795.493614,0.628081022,1976.999988,0.327155384,569,0.094158531,243.9999995,0.040377296,12.00000004,0.001985769,57,0.009432401,4.000000089,0.000661923,5580.99998,0.923547903,144.9999987,0.023994704,135.9999993,0.022505378,170.4815037,0.093619716,367.2498241,0.201674807,6042.999983,0.999999997,3795.493614,0.628081022,1976.999988,0.327155384,569,0.094158531,243.9999995,0.040377296,12.00000004,0.001985769,57,0.009432401,4.000000089,0.000661923,5580.99998,0.923547903,144.9999987,0.023994704,135.9999993,0.022505378,170.4815037,0.093619716,367.2498241,0.201674807,1508.727478,0.249665312,1232.986648,0.20403552,509.2880549,0.084277355,188.837526,0.03124897,10.79289419,0.001786016,2.792894151,0.00046217,0,0,0,0,1482.948199,0.245399338,12.1934869,0.002017787,23.7902298,0.003936824,121.9600785,0.066974233,92.15895175,0.05060898,208.8090154,0.034553867,170.647899,0.028238937,55.99999962,0.00926692,37.80901599,0.006256663,0,0,0,0,0,0,0,0,208.8090154,0.034553867,0,0,2.000000048,0.000330961,21.72620311,0.011930919,16.41723851,0.009015507,3880,1977,569,244,12,57,4,5581,145,136,116,289
4001944100,Arizona,Apache,0,5870,1632,0,204,0.034753,1,1,1,1,1,1,49.2,30739,1,1,1,0,0,1,1,1,5869.090739,5869.090739,5774.854786,4401.402687,4401.402687,4329.265129,5869.999992,0.999999999,4402.101341,0.749932085,2076.999994,0.353833048,481.9999985,0.082112436,64.99999938,0.011073254,3.000000014,0.000511073,0.999999975,0.000170358,0,0,5724.999993,0.975298125,76.00000072,0.012947189,77.00000047,0.013117547,364.788778,0.223522536,631.0399971,0.386666665,5869.999992,0.999999999,4402.101341,0.749932085,2076.999994,0.353833048,481.9999985,0.082112436,64.99999938,0.011073254,3.000000014,0.000511073,0.999999975,0.000170358,0,0,5724.999993,0.975298125,76.00000072,0.012947189,77.00000047,0.013117547,364.788778,0.223522536,631.0399971,0.386666665,5869.090739,0.9998451,4401.402687,0.749813064,2076.909069,0.353817559,481.6362973,0.082050477,64.99999938,0.011073254,3.000000014,0.000511073,0.999999975,0.000170358,0,0,5724.09074,0.975143227,76.00000072,0.012947189,77.00000047,0.013117547,364.5953921,0.223404039,630.8642082,0.386558951,5774.854786,0.983791275,4329.265129,0.737523872,2053.250713,0.349787174,464.8110093,0.079184158,64.99999938,0.011073254,3.000000014,0.000511073,0.999999975,0.000170358,0,0,5630.854787,0.959259759,75.00000072,0.012776831,77.00000047,0.013117547,352.5825526,0.216043231,615.6819242,0.377256081,4141,2077,482,65,3,1,0,5725,76,77,267,464
4001944201,Arizona,Apache,0,4010,1146,0,56,0.0139651,0,0,0,1,1,1,32.8,43664,0,0,0,0,0,0,0,1,219.1847362,219.1847362,0,123.1374932,123.1374932,0,4009.721125,0.999930455,2685.075824,0.669594969,1545.913159,0.385514503,301.9985024,0.075311347,244.0000007,0.06084788,15.00000003,0.003740648,10.99999982,0.002743142,0,0,3661.721125,0.913147413,77.99999989,0.019451372,109.9782875,0.027426007,127.7242558,0.11145223,380.4704919,0.331998684,3999.932029,0.997489284,2679.015147,0.668083578,1542.941292,0.384773389,301.7810727,0.075257125,244.0000007,0.06084788,15.00000003,0.003740648,10.99999982,0.002743142,0,0,3651.932029,0.910706242,77.99999989,0.019451372,109.2928751,0.027255081,127.6863658,0.111419167,379.3933184,0.331058742,219.1847362,0.054659535,123.1374932,0.030707604,69.39026865,0.017304306,25.83615877,0.006442932,0,0,0,0,0.999999988,0.000249377,0,0,216.4288705,0.053972287,1.755866087,0.000437872,3.544083416,0.000883811,10.40751168,0.009081598,24.49524556,0.02137456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2723,1546,302,244,15,11,0,3662,78,110,107,339
4001944202,Arizona,Apache,0,4053,1156,0,0,0,1,1,0,1,1,1,54,30000,1,1,0,0,0,1,0,1,770.6376486,770.6376486,0,535.7436923,535.7436923,0,4052.999991,0.999999998,2784.979818,0.687140345,1376.999993,0.339748333,301.9999977,0.074512706,58.9999998,0.014557118,1,0.000246731,3.000000012,0.000740192,0,0,3950.999986,0.974833453,38.99999991,0.009622502,50.00000047,0.012336541,249.2692263,0.215630819,517.8784728,0.447991758,4052.999991,0.999999998,2784.979818,0.687140345,1376.999993,0.339748333,301.9999977,0.074512706,58.9999998,0.014557118,1,0.000246731,3.000000012,0.000740192,0,0,3950.999986,0.974833453,38.99999991,0.009622502,50.00000047,0.012336541,249.2692263,0.215630819,517.8784728,0.447991758,770.6376486,0.190140056,535.7436923,0.132184479,260.1530848,0.064187783,63.43681149,0.015651816,3.285587346,0.000810656,0,0,0,0,0,0,763.3622318,0.188344987,3.989827909,0.000984413,4.573205232,0.001128351,48.83765759,0.042247109,100.6824917,0.087095581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2605,1377,302,59,1,3,0,3951,39,50,208,435
4001944300,Arizona,Apache,0,6958,2088,0,1,0.0001437,1,1,1,1,1,1,35.6,34877,1,1,1,0,0,1,1,1,6657.126418,6657.126418,1221.511777,4458.604334,4458.604334,869.4773539,6957.999999,1,4664.229668,0.670340567,2463.000001,0.353981029,691.9999995,0.099453866,100.9999996,0.014515665,5.000000057,0.000718597,1.99999994,0.000287439,1.000000044,0.000143719,6746.000016,0.969531477,103.0000007,0.014803104,89.99999935,0.012934751,354.6902033,0.169870787,834.4795893,0.399654976,6957.999999,1,4664.229668,0.670340567,2463.000001,0.353981029,691.9999995,0.099453866,100.9999996,0.014515665,5.000000057,0.000718597,1.99999994,0.000287439,1.000000044,0.000143719,6746.000016,0.969531477,103.0000007,0.014803104,89.99999935,0.012934751,354.6902033,0.169870787,834.4795893,0.399654976,6657.126418,0.956758611,4458.604334,0.640788205,2371.050468,0.340766092,654.4801834,0.094061538,100.9999996,0.014515665,5.000000057,0.000718597,1.99999994,0.000287439,1.000000044,0.000143719,6451.126435,0.927152405,97.00000071,0.013940788,87.4881924,0.012573756,333.8516294,0.159890627,796.3146711,0.381376758,1221.511777,0.175555012,869.4773539,0.124960815,431.2342437,0.061976752,112.5792074,0.016179823,15.33860701,0.002204456,1.000000039,0.000143719,0.99999994,0.000143719,0,0,1186.825965,0.170569986,17.34720711,0.002493131,15.07166963,0.002166092,70.32510463,0.033680606,140.34203,0.067213616,4958,2463,692,101,5,2,1,6746,103,90,296,695
4001944901,Arizona,Apache,0,4021,1207,0,111,0.0276051,1,1,1,1,1,1,39.2,33103,1,1,1,0,0,1,1,1,3993.016814,3993.016814,3509.884019,2868.952353,2868.952353,2490.851165,4021.000016,1.000000004,2889.768765,0.718669178,1403.000013,0.348918183,432,0.107435961,91.00000009,0.022631186,5.000000039,0.001243472,12.99999971,0.003233027,2.999999984,0.000746083,3823.000003,0.950758519,86.0000007,0.021387715,69.99999995,0.017408605,203.3352422,0.168463332,373.2436026,0.309232479,4021.000016,1.000000004,2889.768765,0.718669178,1403.000013,0.348918183,432,0.107435961,91.00000009,0.022631186,5.000000039,0.001243472,12.99999971,0.003233027,2.999999984,0.000746083,3823.000003,0.950758519,86.0000007,0.021387715,69.99999995,0.017408605,203.3352422,0.168463332,373.2436026,0.309232479,3993.016814,0.99304074,2868.952353,0.713492254,1394.000013,0.346679934,427.9049445,0.106417544,91.00000009,0.022631186,5.000000039,0.001243472,12.99999971,0.003233027,2.999999984,0.000746083,3795.016801,0.943799254,86.0000007,0.021387715,69.99999995,0.017408605,201.9280996,0.167297514,370.7403486,0.307158532,3509.884019,0.872888341,2490.851165,0.619460623,1258.763938,0.313047485,358.3262139,0.089113707,86.59278827,0.021535138,4.398262913,0.001093823,12.99999971,0.003233027,2.999999984,0.000746083,3331.434582,0.828508973,71.45837351,0.017771294,66.9999999,0.016662522,158.3834361,0.131220742,317.6023872,0.263133709,2700,1403,432,91,5,13,3,3823,86,70,152,278
4001944902,Arizona,Apache,0,4853,1519,0,17,0.003503,1,1,1,1,1,1,46.1,27105,1,1,1,0,0,1,1,1,4805.911404,4805.911404,3806.676329,3593.833596,3593.833596,2797.191912,4852.999981,0.999999996,3631.407787,0.748281019,1497.999999,0.308675046,636.9999987,0.131259015,77.00000127,0.015866475,2.999999979,0.000618174,2.999999863,0.000618174,0,0,4707.999988,0.970121572,61.99999982,0.012775603,49.00000007,0.010096847,367.3460687,0.241834147,537.0546812,0.353558052,4852.999981,0.999999996,3631.407787,0.748281019,1497.999999,0.308675046,636.9999987,0.131259015,77.00000127,0.015866475,2.999999979,0.000618174,2.999999863,0.000618174,0,0,4707.999988,0.970121572,61.99999982,0.012775603,49.00000007,0.010096847,367.3460687,0.241834147,537.0546812,0.353558052,4805.911404,0.990297013,3593.833596,0.740538553,1480.438428,0.305056342,631.7819814,0.1301838,74.46557586,0.015344236,2.847569319,0.000586765,2.999999863,0.000618174,0,0,4663.750698,0.961003647,61.84756916,0.012744193,48.36639372,0.009966288,363.3069395,0.239175075,532.4770428,0.350544465,3806.676329,0.784396524,2797.191912,0.576384074,1191.930341,0.245606911,502.5713022,0.103558892,56.46380227,0.011634824,1.99999996,0.000412116,2.999999863,0.000618174,0,0,3697.420746,0.761883525,47.79178938,0.009847886,31.24636242,0.006438566,265.3798501,0.174706945,420.5365648,0.276850931,4066,1498,637,77,3,3,0,4708,62,49,323,472
4001945001,Arizona,Apache,0,4497,1349,0,79,0.0175673,0,0,0,0,0,1,33.6,39107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4323.015317,0.961310944,2579.129985,0.573522345,1351.886742,0.300619689,393.2970176,0.087457642,154.6043348,0.034379438,3.999999938,0.000889482,22.76820597,0.005062977,5.609234487,0.001247328,4030.988288,0.896372757,105.0452571,0.023358963,93.65805633,0.020826786,74.69361003,0.055369615,213.3987712,0.158190342,3621.983841,0.805422246,2138.201056,0.475472772,1133.630834,0.25208602,317.2980212,0.07055771,138.1389677,0.030718027,3.99902837,0.000889266,19.02494573,0.004230586,4.239305737,0.000942696,3367.147663,0.748754206,89.43393401,0.019887466,78.09523415,0.017366074,69.11125187,0.051231469,179.4366062,0.133014534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2879,1418,404,163,4,23,7,4193,107,98,66,205
