,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId,FIPS,Census Tract,Store_Type
87282,99 + Raham,5134 W Northern Ave,,Glendale,AZ,85301,1403,MARICOPA,-112.17031,33.553143,87283,4.01E+13,4013092307,0
179745,99 Cent Only Store 388,8940 E Indian Bend Rd,,Scottsdale,AZ,85250,,MARICOPA,-111.88815,33.538479,179746,4.01E+13,4013941300,0
227200,99 Cent Only Store 419,2009 N Stapley Dr,,Mesa,AZ,85203,1903,MARICOPA,-111.80486,33.452057,227201,4.01E+13,4013420301,0
10641,99 Cent Only Store 426,1045 S Gilbert Rd,,Mesa,AZ,85204,,MARICOPA,-111.78821,33.396503,10642,4.01E+13,4013422502,0
49339,99 CENTS ONLY STORE  116,1240 E Indian School Rd,,Phoenix,AZ,85014,4924,MARICOPA,-112.05482,33.494728,49340,4.01E+13,4013110600,0
190387,99 CENTS ONLY STORE  166,2315 E Bell Rd,,Phoenix,AZ,85022,2901,MARICOPA,-112.03275,33.640385,190388,4.01E+13,4013103606,0
81275,99 CENTS ONLY STORE  167,1996 N Alma School Rd,,Chandler,AZ,85224,2824,MARICOPA,-111.85918,33.33493,81276,4.01E+13,4013523005,0
190070,99 CENTS ONLY STORE  178,5340 W Glendale Ave,,Glendale,AZ,85301,2620,MARICOPA,-112.17393,33.538517,190071,4.01E+13,4013092500,0
185970,99 Cents Only Store 131,3518 W Peoria Ave,,Phoenix,AZ,85029,4026,MARICOPA,-112.13464,33.582085,185971,4.01E+13,4013104203,0
28679,99 Cents Only Store 133,790 E Southern Ave,,Tempe,AZ,85282,5207,MARICOPA,-111.92794,33.393002,28680,4.01E+13,4013319600,0
48447,99 Cents Only Store 145,1120 S Country Club Dr,,Mesa,AZ,85210,4648,MARICOPA,-111.84013,33.394768,48448,4.01E+13,4013422105,0
182543,99 CENTS ONLY STORE 161,12801 W BELL RD,,SURPRISE,AZ,85374,,MARICOPA,-112.33578,33.638416,182544,4.01E+13,4013060801,0
187176,99 CENTS ONLY STORE 163,4433 E Main St,,Mesa,AZ,85205,7901,MARICOPA,-111.7349,33.415401,187177,4.01E+13,4013422624,0
182544,99 Cents Only Store 164,7919 E THOMAS RD,,SCOTTSDALE,AZ,85251,,MARICOPA,-111.91084,33.480335,182545,4.01E+13,4013217900,0
188891,99 CENTS ONLY STORE 182,7620 W THOMAS RD,,PHOENIX,AZ,85033,,MARICOPA,-112.22276,33.480179,188892,4.01E+13,4013109705,0
195803,99 CENTS ONLY STORE 203,12805 N Tatum Blvd,,Phoenix,AZ,85032,7730,MARICOPA,-111.97834,33.602749,195804,4.01E+13,4013103205,0
195076,99 CENTS ONLY STORE 207,20165 N 67th Ave,,Glendale,AZ,85308,7002,MARICOPA,-112.20289,33.66597,195077,4.01E+13,4013615900,0
195109,99 CENTS ONLY STORE 220,8375 W Thunderbird Rd,Ste 102,Peoria,AZ,85381,3685,MARICOPA,-112.23918,33.609913,195110,4.01E+13,4013071517,0
72367,99 Cents Only Store 223,7830 N 12th St,,Phoenix,AZ,85020,4223,MARICOPA,-112.05663,33.551949,72368,4.01E+13,4013106300,0
76919,99 Cents Only Store 225,5010 W Indian School Rd,,Phoenix,AZ,85031,,MARICOPA,-112.1669,33.495014,76920,4.01E+13,4013109300,0
76635,99 Cents Only Store 231,13540 W Van Buren St,,Goodyear,AZ,85338,1259,MARICOPA,-112.3506,33.449898,76636,4.01E+13,4013061012,0
98697,99 Cents Only Store 282,6018 S Central Ave,,Phoenix,AZ,85042,4235,MARICOPA,-112.07346,33.391884,98698,4.01E+13,4013116500,0
29326,99 Cents Only Store 322,4240 W Bell Rd,,Phoenix,AZ,85308,,MARICOPA,-112.15042,33.639465,29327,4.01E+13,4013618300,0
143686,99 Cents Only Store 373,3610 W Baseline Rd,,Laveen,AZ,85339,3019,MARICOPA,-112.13839,33.377754,143687,4.01E+13,4013116606,0
177084,99 Cents Only Stores 0324,2070 S Power Rd,,Mesa,AZ,85209,6670,MARICOPA,-111.68797,33.378067,177085,4.01E+13,4013422622,0
125249,99 Cents Only Stores 306,750 N Gilbert Rd,,Gilbert,AZ,85234,4719,MARICOPA,-111.78986,33.363216,125250,4.01E+13,4013422401,0
163212,99cent Plus Beer And Wine,730 E Brown Rd,Ste 112,Mesa,AZ,85203,4840,MARICOPA,-111.81512,33.435528,163213,4.01E+13,4013420901,0
69350,Asian Grocery Store,2650 W Glenrosa Ave,Ste 10,Phoenix,AZ,85017,4387,MARICOPA,-112.11646,33.498611,69351,4.01E+13,4013109001,0
102147,AZ Dollar Store,1550 W Van Buren St,,Phoenix,AZ,85007,2442,MARICOPA,-112.09328,33.451366,102148,4.01E+13,4013112900,0
112117,Dollar  General 11185,951 E Pima St,,Gila Bend,AZ,85337,,MARICOPA,-112.70456,32.949493,112118,4.01E+13,4013723305,0
188564,DOLLAR CITY,427 N 1st St,,Buckeye,AZ,85326,2304,MARICOPA,-112.59087,33.373501,188565,4.01E+13,4013050702,0
215809,Dollar Dealz,6642 W. Maryland Ave,,Glendale,AZ,85301,,MARICOPA,-112.20212,33.531109,215810,4.01E+13,4013092801,0
84437,Dollar General 10200,400 W Ray Rd,,Chandler,AZ,85225,1917,MARICOPA,-111.84641,33.320679,84438,4.01E+13,4013523003,0
84439,Dollar General 10257,10633 W Peoria Ave,,Sun City,AZ,85351,4143,MARICOPA,-112.28886,33.579979,84440,4.01E+13,4013071802,0
88734,Dollar General 10837,10720 W Indian School Rd,,Phoenix,AZ,85037,5721,MARICOPA,-112.29146,33.493622,88735,4.01E+13,4013082012,0
107013,Dollar General 10996,18631 N 19th Ave,Ste 318,Phoenix,AZ,85027,,MARICOPA,-112.09974,33.656059,107014,4.01E+13,4013616600,0
157304,Dollar General 11976,1901 W Camelback Rd,,Phoenix,AZ,85015,3439,MARICOPA,-112.09998,33.509399,157305,4.01E+13,4013109002,0
173975,Dollar General 12457,7350 E Main St,,Mesa,AZ,85207,8304,MARICOPA,-111.67287,33.415501,173976,4.01E+13,4013420113,0
33628,Dollar General 13380,415 S Higley Rd,,Mesa,AZ,85206,2146,MARICOPA,-111.71915,33.407871,33629,4.01E+13,4013422637,0
187976,DOLLAR GENERAL 14141,1839 W Buckeye Rd,,Phoenix,AZ,85007,3522,MARICOPA,-112.09863,33.436714,187977,4.01E+13,4013114800,0
64763,Dollar General 14142,3949 W McDowell Rd,,Phoenix,AZ,85009,2114,MARICOPA,-112.14556,33.465942,64764,4.01E+13,4013112601,0
4534,Dollar General 14375,6600 W Van Buren St,,Phoenix,AZ,85043,5030,MARICOPA,-112.20223,33.45163,4535,4.01E+13,4013112505,0
