,OBJECTID,StationId,StationName,Jurisdiction,StationStatus,POINT_X,POINT_Y,Image,Image2,TVM,Bench,TrashCan,BikeRacks,WaterFountain,Restroom,InfoDisplay,Em_Call,NextRide,Address,FIPS,Census Tract
0,1,1,19th Avenue / Dunlap Avenue,Phoenix,In Operation,-112.0993888,33.56708951,https://farm8.staticflickr.com/7090/26530397293_0faa60e8de_b.jpg,https://farm8.staticflickr.com/7641/27039654922_cec4d20e63_b.jpg,,,,,,,,,18608,1935 W Dunlap Ave,040131054002012,04013105400
1,2,35,Center Street / Main Street,Mesa,In Operation,-111.83066039,33.41509754,https://farm6.staticflickr.com/5812/23984692621_8d5532a2af_o.jpg,,,,,,,,,,18602,26 East Main Street,040134214001019,04013421400
2,3,2,19th Avenue / Northern Avenue,Phoenix,In Operation,-112.09935953,33.55318964,https://farm8.staticflickr.com/7505/27101054406_aef88d5c18_b.jpg,,,,,,,,,,18607,7832 N 19th Ave,040131054003002,04013105400
3,4,3,19th Avenue / Glendale Avenue,Phoenix,In Operation,-112.09932892,33.53864324,https://farm8.staticflickr.com/7167/26530393693_96b1baf0ea_b.jpg,https://farm8.staticflickr.com/7377/26860112480_40f73b0d48_b.jpg,,,,,,,,,18606,6813 N 19th Ave,040131061003007,04013106100
4,5,21,44th Street / Washington,Phoenix,In Operation,-111.98798314,33.44816993,https://farm6.staticflickr.com/5771/23439060114_4cdce64345_o.jpg,https://farm2.staticflickr.com/1502/23443590524_dc4a06a76c_o.jpg,,,,,,,,,10018,4203 East Washington Street,040131138011012,04013113801
5,6,24,Center Parkway / Washington,Tempe,In Operation,-111.94662735,33.4380634,https://farm6.staticflickr.com/5815/24067296465_5c7b834c53_o.jpg,,,,,,,,,,10020,702 West Washington Street,040133201001039,04013320100
6,7,20,38th Street / Washington,Phoenix,In Operation,-111.99988636,33.44810237,https://farm6.staticflickr.com/5783/24067294335_d4aeefc673_o.jpg,https://farm2.staticflickr.com/1447/24071816735_fd6d45a268_o.jpg,,,,,,,,,10017,3763 East Washington Street,040131138011019,04013113801
7,8,34,Country Club Drive / Main Street,Mesa,In Operation,-111.8390359,33.41511499,https://farm6.staticflickr.com/5784/23440493303_3bbfcf60f0_o.jpg,,,,,,,,,,18601,300 West Main Street,040134214003003,04013421400
8,9,33,Alma School Road / Main Street,Mesa,In Operation,-111.85554955,33.41493761,https://farm2.staticflickr.com/1620/23771607490_32dabe11a9_o.jpg,,,,,,,,,,18600,1128 West Main Street,040134213022012,04013421302
9,10,23,Priest Drive / Washington,Tempe,In Operation,-111.95609026,33.44200283,https://farm6.staticflickr.com/5763/24041187666_d931bf0ba3_o.jpg,,,,,,,,,,10019,1166 West Washington Street,040133201001052,04013320100
10,11,14,Roosevelt / Central Avenue,Phoenix,In Operation,-112.07406165,33.45938818,https://farm6.staticflickr.com/5636/23699464899_987184a45e_o.jpg,,,,,,,,,,10011,1004 North Central Avenue,040131130001027,04013113000
11,12,7,Central Avenue / Camelback,Phoenix,In Operation,-112.0753075,33.50866627,https://farm6.staticflickr.com/5746/23699462439_fe035808d3_o.jpg,https://farm6.staticflickr.com/5833/23703988949_475d9c5c4d_o.jpg,,,,,,,,,10004,77 West Camelback Road,040131088021000,04013108802
12,13,5,19th Avenue / Camelback,Phoenix,In Operation,-112.09880709,33.50954307,https://farm6.staticflickr.com/5699/24067295415_ed6193047b_o.jpg,https://farm2.staticflickr.com/1466/23776130020_e413ed5cb6_o.jpg,,,,,,,,,10002,1855 West Camelback Road ,040131089021001,04013108902
13,14,4,Montebello / 19th Ave,Phoenix,In Operation,-112.09973101,33.52059185,https://farm2.staticflickr.com/1497/23984692441_d067610604_o.jpg,,,,,,,,,,10001,5645 North 19th Ave,040131073001018,04013107300
14,15,6,7th Avenue / Camelback,Phoenix,In Operation,-112.08333617,33.50930817,https://farm2.staticflickr.com/1534/24041186226_fccc45bb5f_o.jpg,,,,,,,,,,10003,705 West Camelback Road,040131089023000,04013108902
15,16,9,Indian School / Central Avenue,Phoenix,In Operation,-112.07378742,33.49575409,https://farm2.staticflickr.com/1451/23959139152_7ca74f286d_o.jpg,,,,,,,,,,10006,4111 North Central Avenue,040131171001020,04013117100
16,17,8,Campbell / Central Ave,Phoenix,In Operation,-112.07378589,33.50140989,https://farm2.staticflickr.com/1636/23439058354_ec23763a2d_o.jpg,,,,,,,,,,10005,4411 North Central Avenue,040131171001008,04013117100
17,18,10,Osborne / Central Avenue,Phoenix,In Operation,-112.07380687,33.4868613,https://farm6.staticflickr.com/5818/23439058124_72357b77f8_o.jpg,,,,,,,,,,10007,3335 North Central Avenue,040131105013000,04013110501
18,19,27,Dorsey / Apache Boulevard,Tempe,In Operation,-111.91688132,33.41476037,https://farm2.staticflickr.com/1683/23699462989_0d729e04e3_o.jpg,,,,,,,,,,10024,1402 East Apache Boulevard,040133191043006,04013319104
19,20,29,McClintock / Apache Boulevard,Tempe,In Operation,-111.90824004,33.41472587,https://farm2.staticflickr.com/1671/23984693011_ffafdd3e95_o.jpg,,,,,,,,,,10025,1822 East Apache Boulevard,040133192021006,04013319202
20,21,28,University Drive / Rural,Tempe,In Operation,-111.92690931,33.42076255,https://farm2.staticflickr.com/1511/24067296165_4da3114369_o.jpg,,,,,,,,,,10023,840 South Rural Road,040133190004007,04013319000
21,22,25,Mill Avenue / Third Street,Tempe,In Operation,-111.94068005,33.4275021,https://farm2.staticflickr.com/1663/23959140552_d199d43e81_o.jpg,,,,,,,,,,10021,50 West 3rd Street,040133187002004,04013318700
22,23,11,Thomas / Central Avenue,Phoenix,In Operation,-112.07377158,33.48122748,https://farm6.staticflickr.com/5662/23959139042_87fae4d0f1_o.jpg,,,,,,,,,,10008,2903 North Central Avenue,040131105013017,04013110501
23,24,12,Encanto / Central Avenue,Phoenix,In Operation,-112.07381505,33.47366706,https://farm2.staticflickr.com/1448/23439057074_24b218efea_o.jpg,,,,,,,,,,10009,2325 North Central Avenue,040131118003026,04013111800
24,25,13,McDowell / Central Avenue,Phoenix,In Operation,-112.07382072,33.46472524,https://farm6.staticflickr.com/5781/23984694991_f39fcb4e07_o.jpg,,,,,,,,,,10010,1502 North Central Avenue,040131130001000,04013113000
25,26,26,Veterans Way / College Avenue,Tempe,In Operation,-111.9359264,33.42612828,https://farm2.staticflickr.com/1698/23984693291_904bf2b746_o.jpg,https://farm2.staticflickr.com/1501/23984691361_f01dcb7c59_o.jpg,,,,,,,,,10022,220 East 5th Street,040133187002007,04013318700
26,27,16,Washington / Central Avenue,Phoenix,In Operation,-112.07389472,33.44888009,https://farm2.staticflickr.com/1644/24067297565_7333ef6c38_o.jpg,,2.0,9.0,2.0,,Yes,No,Yes,Yes,10032,4 North Central Avenue,040131141001032,04013114100
27,28,15,Van Buren / Central Avenue,Phoenix,In Operation,-112.07392841,33.45191463,https://farm6.staticflickr.com/5800/24067297765_d97842915d_o.jpg,,2.0,9.0,2.0,,Yes,No,Yes,Yes,10033,304 North Central Avenue,040131131002042,04013113100
28,29,15,Van Buren / 1st Avenue,Phoenix,In Operation,-112.07509158,33.45192574,https://farm2.staticflickr.com/1535/23699464749_2bb3559d45_o.jpg,,,,,,,,,,10012,303 North 1st Avenue,040131131002042,04013113100
29,30,32,Sycamore / Main Street,Mesa,In Operation,-111.87089124,33.41485085,https://farm6.staticflickr.com/5807/23984692861_d1a95aaafe_o.jpg,https://farm2.staticflickr.com/1650/23989217991_520f376fca_o.jpg,,,,,,,,,10028,1830 West Main Street,040134213042001,04013421304
30,31,31,Price-101 Freeway / Apache Boulevard,Tempe,In Operation,-111.88808677,33.41481344,https://farm6.staticflickr.com/5802/23959140062_4f63774c8b_o.jpg,https://farm2.staticflickr.com/1573/23989217621_90c5fd95a0_o.jpg,,,,,,,,,10027,2338 East Apache Boulevard,040133193001032,04013319300
31,32,30,Smith-Martin / Apache Boulevard,Tempe,In Operation,-111.90076583,33.41478347,https://farm2.staticflickr.com/1556/23959138232_90b3b8aaa9_o.jpg,,,,,,,,,,10026,1964 East Apache Boulevard,040133192012006,04013319201
32,33,19,24th Street / Washington,Phoenix,In Operation,-112.02928853,33.44822322,https://farm2.staticflickr.com/1509/23699463719_4dbc1800a8_o.jpg,,,,,,,,,,10029,2411 East Washington Street,040131138012017,04013113801
33,34,19,24th Street / Jefferson,Phoenix,In Operation,-112.02928117,33.44719506,https://farm6.staticflickr.com/5767/24067296825_a15c467cfd_o.jpg,,,,,,,,,,10016,2416 East Jefferson St,040131138012032,04013113801
34,35,18,12th Street / Jefferson,Phoenix,In Operation,-112.05565961,33.44722879,https://farm6.staticflickr.com/5804/23439057874_58d7566edd_o.jpg,,,,,,,,,,10015,1228 East Jefferson Street,040131140001027,04013114000
35,36,14,Roosevelt / Central Avenue,Phoenix,In Operation,-112.07385086,33.45934915,https://farm6.staticflickr.com/5636/23699464899_987184a45e_o.jpg,,,,,,,,,,10011,1004 North Central Avenue,040131130001027,04013113000
36,37,17,3rd Street / Washington,Phoenix,In Operation,-112.07061854,33.44831856,https://farm2.staticflickr.com/1518/23439060794_ac6bea89dd_o.jpg,,,,,,,,,,10031,270 East Washington Street,040131141001022,04013114100
37,38,18,12th Street / Washington,Phoenix,In Operation,-112.05721163,33.44821975,https://farm2.staticflickr.com/1612/23959141212_90b4fd47c5_o.jpg,,,,,,,,,,10030,1135 East Washington Street,040131140001028,04013114000
38,39,17,3rd Street / Jefferson,Phoenix,In Operation,-112.06931138,33.44630408,https://farm6.staticflickr.com/5824/24067297435_38ce4bbafd_o.jpg,,,,,,,,,,10014,333 East Jefferson Street,040131141001063,04013114100
39,40,16,Jefferson / 1st Avenue,Phoenix,In Operation,-112.07520165,33.44777443,https://farm2.staticflickr.com/1542/24041188816_c1edc50acb_o.jpg,,,,,,,,,,10013,70 South 1st Avenue,040131141001040,04013114100
40,41,36,Mesa Drive / Main Street,Mesa,In Operation,-111.82219142,33.41507829,https://farm6.staticflickr.com/5644/24041186696_c20166d946_o.jpg,https://farm2.staticflickr.com/1716/23989217631_8fb49fc407_o.jpg,,,,,,,,,18603,424 East Main Street,040134215011002,04013421501
41,45,22,50th St / Washington St ,Phoenix,In Operation,-111.97474093210467,33.44692975679957,,,,,,,,,,,18716,4835 East Washingtpm Street,040131138011043,04013113801
42,46,37,Main St / Stapley Dr,Mesa,In Operation,-111.80493549642601,33.415237802153776,,,,,,,,,,,18717,1310 East Main Street,040134216012015,04013421601
43,47,38,Main St / Gilbert Rd,Mesa,In Operation,-111.78902598199998,33.41537563745753,,,,,,,,,,,18718,1864 East Main Street,040134216022000,04013421602
44,48,1,19th Avenue / Dunlap Avenue,Phoenix,In Operation,-112.0993888,33.56708951,https://farm8.staticflickr.com/7090/26530397293_0faa60e8de_b.jpg,https://farm8.staticflickr.com/7641/27039654922_cec4d20e63_b.jpg,,,,,,,,,18608,1935 W Dunlap Ave,040131054002012,04013105400
45,49,35,Center Street / Main Street,Mesa,In Operation,-111.83066039,33.41509754,https://farm6.staticflickr.com/5812/23984692621_8d5532a2af_o.jpg,,,,,,,,,,18602,26 East Main Street,040134214001019,04013421400
46,50,2,19th Avenue / Northern Avenue,Phoenix,In Operation,-112.09935953,33.55318964,https://farm8.staticflickr.com/7505/27101054406_aef88d5c18_b.jpg,,,,,,,,,,18607,7832 N 19th Ave,040131054003002,04013105400
47,51,3,19th Avenue / Glendale Avenue,Phoenix,In Operation,-112.09932892,33.53864324,https://farm8.staticflickr.com/7167/26530393693_96b1baf0ea_b.jpg,https://farm8.staticflickr.com/7377/26860112480_40f73b0d48_b.jpg,,,,,,,,,18606,6813 N 19th Ave,040131061003007,04013106100
48,52,21,44th Street / Washington,Phoenix,In Operation,-111.98798314,33.44816993,https://farm6.staticflickr.com/5771/23439060114_4cdce64345_o.jpg,https://farm2.staticflickr.com/1502/23443590524_dc4a06a76c_o.jpg,,,,,,,,,10018,4203 East Washington Street,040131138011012,04013113801
49,53,24,Center Parkway / Washington,Tempe,In Operation,-111.94662735,33.4380634,https://farm6.staticflickr.com/5815/24067296465_5c7b834c53_o.jpg,,,,,,,,,,10020,702 West Washington Street,040133201001039,04013320100
