,CensusTract,State,County,POP2010,OHU2010,NUMGQTRS,LILATracts_halfAnd10,PovertyRate,MedianFamilyIncome,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,Census Tract,distance,bus_stops,store_count
0,04013010101,Arizona,Maricopa,5073,2246,0,0,4.5,116833,429,729,1645,4869,44,61,7,12,80,161,42,0,04013010101,3.989204532391526,0.0,0.0
1,04013010102,Arizona,Maricopa,4640,2041,0,0,7.9,143490,598,579,1240,4367,21,108,5,6,133,169,73,14,04013010102,3.989204532391526,0.0,0.0
2,04013030401,Arizona,Maricopa,4283,2008,47,0,6.2,107693,628,539,1431,4100,30,65,0,11,77,111,58,21,04013030401,3.989204532391526,0.0,1.0
3,04013030402,Arizona,Maricopa,3895,1706,0,0,7.6,108188,599,606,792,3627,27,27,3,18,193,320,0,19,04013030402,3.989204532391526,0.0,0.0
4,04013040502,Arizona,Maricopa,4861,2188,169,1,20.6999999999999,50377,2513,962,1340,4343,12,24,1,85,396,759,195,258,04013040502,3.989204532391526,0.0,3.0
5,04013040506,Arizona,Maricopa,5209,3271,0,1,6.2,48902,1381,15,4194,5096,40,14,3,12,44,75,190,44,04013040506,3.989204532391526,0.0,1.0
6,04013040507,Arizona,Maricopa,6097,3837,186,0,6.6,58933,1490,3,5222,5967,48,35,4,5,38,71,532,11,04013040507,3.989204532391526,0.0,3.0
7,04013040512,Arizona,Maricopa,1690,981,0,0,4.3,59775,241,1,1478,1656,15,12,1,3,3,16,29,0,04013040512,3.989204532391526,0.0,0.0
8,04013040513,Arizona,Maricopa,3031,1796,0,0,1.5,65772,431,2,2626,2977,24,15,0,2,13,17,40,0,04013040513,3.989204532391526,0.0,0.0
9,04013040514,Arizona,Maricopa,3104,1833,0,0,3.9,55563,529,3,2481,3044,16,22,2,5,15,44,107,67,04013040514,3.989204532391526,0.0,0.0
10,04013040515,Arizona,Maricopa,4792,1950,80,0,19.0,51922,1518,880,1267,3985,18,22,4,70,693,1243,25,114,04013040515,3.989204532391526,0.0,0.0
11,04013040516,Arizona,Maricopa,2856,1293,0,0,6.0,82460,403,379,842,2648,54,26,5,14,109,216,0,40,04013040516,3.989204532391526,0.0,0.0
12,04013040517,Arizona,Maricopa,7621,2506,0,1,18.1999999999999,50242,2239,2148,888,6017,145,83,7,74,1295,2173,60,278,04013040517,3.989204532391526,0.0,1.0
13,04013040518,Arizona,Maricopa,6679,2323,41,0,6.7,64006,2684,1891,755,5884,123,50,14,57,551,1082,55,197,04013040518,3.989204532391526,0.0,0.0
14,04013040519,Arizona,Maricopa,3595,1644,0,0,4.6,87438,845,438,1056,3273,77,103,2,10,130,166,59,7,04013040519,3.989204532391526,0.0,0.0
15,04013040520,Arizona,Maricopa,4142,1253,0,0,1.3,130143,206,1559,136,3564,129,159,18,9,263,434,14,13,04013040520,3.989204532391526,0.0,1.0
16,04013040521,Arizona,Maricopa,4560,1428,0,0,2.9,92861,1234,1570,203,3987,95,103,3,25,347,630,0,59,04013040521,3.989204532391526,0.0,0.0
17,04013040522,Arizona,Maricopa,4181,2481,0,0,3.5,62969,707,16,3588,4064,40,39,4,6,28,50,109,16,04013040522,3.989204532391526,0.0,0.0
18,04013040523,Arizona,Maricopa,3300,1761,0,0,3.3,67125,406,54,1971,3133,60,42,2,14,49,86,0,36,04013040523,3.989204532391526,0.0,0.0
19,04013040524,Arizona,Maricopa,1474,800,0,0,0.7,71328,119,5,843,1394,37,22,0,4,17,39,12,0,04013040524,3.989204532391526,0.0,0.0
20,04013040525,Arizona,Maricopa,3046,1686,0,0,3.3,72500,380,3,1959,2944,50,36,2,3,11,57,60,7,04013040525,3.989204532391526,0.0,0.0
21,04013040526,Arizona,Maricopa,2365,1307,0,0,2.1,62300,215,4,1718,2291,28,18,3,5,20,53,0,12,04013040526,3.989204532391526,0.0,0.0
22,04013040527,Arizona,Maricopa,4184,1775,15,1,17.3999999999999,45893,1098,826,1557,3725,122,78,5,19,235,391,37,82,04013040527,3.989204532391526,0.0,1.0
23,04013040528,Arizona,Maricopa,6212,3481,0,0,5.6,63649,1048,11,4774,6066,59,48,2,16,21,87,59,7,04013040528,3.989204532391526,0.0,1.0
24,04013040529,Arizona,Maricopa,3222,1820,0,0,1.3,56179,446,4,2392,3133,34,38,0,7,10,29,65,0,04013040529,3.989204532391526,0.0,0.0
25,04013040530,Arizona,Maricopa,3559,1310,15,0,17.3999999999999,60745,1400,983,351,2991,180,63,11,20,294,586,92,234,04013040530,3.989204532391526,0.0,0.0
26,04013040531,Arizona,Maricopa,3395,1810,2,1,16.8,45045,1497,458,1755,3043,136,37,1,16,162,362,199,216,04013040531,3.989204532391526,0.0,2.0
27,04013050603,Arizona,Maricopa,4536,1492,0,0,16.6999999999999,61890,1603,1396,412,3210,85,7,10,73,1151,1639,57,204,04013050603,3.989204532391526,0.0,1.0
28,04013050604,Arizona,Maricopa,3727,1176,0,0,16.6999999999999,68264,1407,1176,328,2651,39,10,0,43,984,1432,55,166,04013050604,3.989204532391526,0.0,0.0
29,04013050605,Arizona,Maricopa,5828,1836,0,0,6.7,78114,1432,1878,373,4384,318,130,13,74,909,1606,35,125,04013050605,3.989204532391526,0.0,0.0
30,04013050606,Arizona,Maricopa,6799,2138,5,0,12.6,87266,2345,2142,523,5485,197,204,7,48,858,1475,26,152,04013050606,2.6752420228361986,1.0,1.0
31,04013050607,Arizona,Maricopa,6505,1985,0,0,28.0,46882,4055,2378,299,4184,475,131,24,52,1639,2624,45,269,04013050607,3.989204532391526,0.0,0.0
32,04013050608,Arizona,Maricopa,7163,2104,0,0,16.0,65711,2953,2600,391,4628,567,142,12,115,1699,2708,34,262,04013050608,0.09755618742252208,2.0,2.0
33,04013050609,Arizona,Maricopa,4874,1673,0,1,14.9,50000,2399,1471,611,3436,291,102,8,79,958,1716,26,281,04013050609,3.989204532391526,0.0,0.0
34,04013050610,Arizona,Maricopa,7915,2268,13,0,16.1,75929,2611,2769,434,5320,401,132,12,83,1967,3357,78,216,04013050610,3.989204532391526,1.0,0.0
35,04013050611,Arizona,Maricopa,4477,1301,0,0,6.7,72056,1273,1594,242,2853,316,70,18,76,1144,1922,14,60,04013050611,3.989204532391526,0.0,0.0
36,04013050701,Arizona,Maricopa,5092,1583,0,1,20.1,53250,2412,1711,349,3396,287,38,5,84,1282,2499,67,189,04013050701,3.989204532391526,0.0,0.0
37,04013050702,Arizona,Maricopa,5280,1709,10,1,31.8999999999999,39643,2957,1785,411,3164,303,34,7,106,1666,2801,277,385,04013050702,0.2557904238872171,3.0,2.0
38,04013060801,Arizona,Maricopa,5832,1898,56,1,44.3999999999999,32109,4006,1785,1105,3200,264,31,15,83,2239,3892,77,580,04013060801,3.989204532391526,0.0,0.0
39,04013060802,Arizona,Maricopa,1975,661,0,0,9.69999999999999,62114,717,614,196,1393,131,53,2,27,369,710,5,55,04013060802,3.989204532391526,0.0,0.0
40,04013060901,Arizona,Maricopa,4640,1351,6,0,15.1999999999999,57365,1801,1726,201,3050,375,83,14,52,1066,1715,49,258,04013060901,3.989204532391526,0.0,2.0
41,04013060902,Arizona,Maricopa,3842,989,0,1,30.3999999999999,34063,2193,1354,337,1604,168,22,4,45,1999,2995,135,179,04013060902,0.13521447708948334,2.0,2.0
42,04013060903,Arizona,Maricopa,4983,1346,0,1,21.8,34921,3493,1973,169,2880,325,54,14,66,1644,2849,80,306,04013060903,0.1435965799705078,1.0,1.0
43,04013060904,Arizona,Maricopa,3527,975,0,1,30.1,40735,1835,1312,137,1922,243,35,5,72,1250,2058,15,251,04013060904,3.989204532391526,0.0,0.0
44,04013061009,Arizona,Maricopa,8318,2966,20,0,5.3,74135,2140,2394,833,5787,722,338,9,73,1389,2428,0,105,04013061009,0.6252400988414274,4.0,3.0
45,04013061010,Arizona,Maricopa,4638,1872,0,0,6.1,93313,710,1008,952,3986,109,193,1,45,304,622,11,17,04013061010,3.989204532391526,0.0,0.0
46,04013061011,Arizona,Maricopa,5705,1632,3,0,13.6999999999999,56397,1923,2011,256,3691,588,311,11,66,1038,1904,5,131,04013061011,1.8310076487116127,11.0,1.0
47,04013061012,Arizona,Maricopa,7680,2748,165,0,12.5,77045,2145,2032,733,5495,444,527,20,71,1123,1972,399,200,04013061012,0.06467332734779623,22.0,1.0
48,04013061013,Arizona,Maricopa,5709,1754,0,0,7.2,83565,1397,2030,230,3660,616,420,8,62,943,1668,32,104,04013061013,0.9446932293863451,1.0,1.0
49,04013061014,Arizona,Maricopa,4905,1661,0,0,10.9,56911,1803,1504,206,3120,515,179,16,66,1009,1756,57,163,04013061014,3.989204532391526,11.0,0.0
50,04013061015,Arizona,Maricopa,5757,1862,0,0,10.6,69497,1711,1716,346,4128,474,154,21,58,922,1827,44,310,04013061015,0.19151415371920893,14.0,1.0
51,04013061016,Arizona,Maricopa,4614,1334,0,0,4.2,97581,962,1666,203,2982,385,625,7,25,590,1053,55,79,04013061016,3.989204532391526,0.0,0.0
52,04013061017,Arizona,Maricopa,3496,0,3496,0,0.0,0,0,110,53,2142,376,22,0,289,667,1265,0,0,04013061017,3.989204532391526,0.0,0.0
53,04013061018,Arizona,Maricopa,4660,2592,0,0,8.69999999999999,77051,688,8,3004,4436,111,64,7,4,38,86,15,0,04013061018,3.989204532391526,0.0,0.0
54,04013061019,Arizona,Maricopa,3161,998,0,0,4.3,63892,522,998,222,2201,154,133,3,55,615,1209,107,116,04013061019,3.989204532391526,0.0,0.0
55,04013061020,Arizona,Maricopa,3835,1230,2,0,3.1,99100,262,1226,238,2808,222,227,6,27,545,870,25,29,04013061020,0.0887369902840267,3.0,2.0
56,04013061021,Arizona,Maricopa,1753,503,0,0,4.8,80042,297,657,84,1191,118,223,0,5,216,501,0,9,04013061021,3.989204532391526,2.0,0.0
57,04013061022,Arizona,Maricopa,8869,2866,0,1,18.5,47838,3947,2901,404,5780,686,309,12,138,1944,3311,121,318,04013061022,3.989204532391526,0.0,2.0
58,04013061023,Arizona,Maricopa,9200,2935,0,0,6.2,80579,2890,2941,488,6438,630,259,20,102,1751,3316,29,181,04013061023,3.989204532391526,0.0,0.0
59,04013061024,Arizona,Maricopa,2177,623,145,0,12.3,63068,690,697,89,1388,156,44,12,26,551,873,15,46,04013061024,3.989204532391526,0.0,0.0
60,04013061025,Arizona,Maricopa,7445,2274,4,0,10.4,77132,1379,2616,437,5910,431,320,23,58,703,1272,25,158,04013061025,3.989204532391526,0.0,1.0
61,04013061026,Arizona,Maricopa,5458,1710,23,0,10.0,60565,1742,1953,332,4394,375,114,7,61,507,922,0,79,04013061026,3.989204532391526,0.0,1.0
62,04013061027,Arizona,Maricopa,5539,2009,0,0,7.0,56311,1325,1632,445,4458,353,88,7,34,599,914,14,70,04013061027,3.989204532391526,0.0,0.0
63,04013061028,Arizona,Maricopa,2417,825,9,0,10.1999999999999,59961,775,863,105,1794,194,75,8,14,332,567,69,68,04013061028,3.989204532391526,0.0,0.0
64,04013061029,Arizona,Maricopa,4905,1931,36,0,5.4,60411,1427,1259,673,3906,252,120,9,24,594,939,113,181,04013061029,0.478833246158296,1.0,2.0
65,04013061030,Arizona,Maricopa,7272,2196,15,0,3.7,75957,723,2630,396,5839,416,147,38,40,792,1306,53,107,04013061030,3.989204532391526,0.0,0.0
66,04013061031,Arizona,Maricopa,3315,1105,0,0,10.0,67981,1150,1038,216,2500,242,150,6,34,383,759,22,49,04013061031,3.989204532391526,0.0,1.0
67,04013061032,Arizona,Maricopa,5579,1755,0,1,21.8999999999999,59773,2102,1941,252,4454,266,134,13,55,657,1066,0,218,04013061032,3.989204532391526,0.0,0.0
68,04013061033,Arizona,Maricopa,6011,1969,10,0,12.6999999999999,66962,1690,2104,299,4756,297,116,18,56,768,1152,40,282,04013061033,3.989204532391526,0.0,1.0
69,04013061034,Arizona,Maricopa,6764,2060,23,0,12.6,74356,1691,2499,286,5147,504,276,8,37,792,1267,44,284,04013061034,3.989204532391526,0.0,1.0
70,04013061035,Arizona,Maricopa,6699,2115,22,0,4.7,82669,1591,2158,469,5101,433,236,25,42,862,1443,23,147,04013061035,3.989204532391526,0.0,1.0
71,04013061036,Arizona,Maricopa,2489,729,5,0,4.5,90473,785,893,102,1716,189,230,4,25,325,514,0,79,04013061036,3.989204532391526,0.0,0.0
72,04013061037,Arizona,Maricopa,3957,1171,14,0,10.9,76627,1244,1433,197,3081,234,133,7,32,470,807,7,93,04013061037,3.989204532391526,0.0,1.0
73,04013061038,Arizona,Maricopa,4525,1400,6,0,0.8,72196,882,1566,204,3360,318,144,10,56,637,1107,66,67,04013061038,3.989204532391526,0.0,0.0
74,04013061039,Arizona,Maricopa,3708,1099,16,0,12.6999999999999,91075,848,1318,172,2772,252,235,6,18,425,641,9,52,04013061039,3.989204532391526,0.0,0.0
75,04013061040,Arizona,Maricopa,3929,1284,0,1,14.6999999999999,47292,1854,1300,210,2660,315,115,5,54,780,1256,45,243,04013061040,3.989204532391526,1.0,0.0
76,04013061041,Arizona,Maricopa,4319,1270,0,1,14.4,47604,2685,1582,105,2653,279,96,35,91,1165,1915,0,306,04013061041,3.989204532391526,0.0,0.0
77,04013061042,Arizona,Maricopa,2120,834,0,1,30.0,48833,907,515,569,1592,122,14,3,16,373,559,33,145,04013061042,3.989204532391526,0.0,0.0
78,04013061043,Arizona,Maricopa,2452,704,7,0,13.1999999999999,85093,610,899,121,1592,132,39,6,28,655,1063,0,107,04013061043,3.989204532391526,0.0,0.0
