,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId,FIPS,Census Tract
42,Kwik Corner 5059,5059 W Olive Ave,,Glendale,AZ,85302,3524,MARICOPA,-112.16846,33.566959,43,040130923092004,04013092309
120,Grand Ave Produce,8990 W Windsor Dr,,Peoria,AZ,85381,6152,MARICOPA,-112.25265,33.600914,121,040130715171009,04013071517
524,Big Az Market  2 2,51348 W Highway 60,,Aguila,AZ,85320,0199,MARICOPA,-113.17298,33.943394,525,040130405151290,04013040515
549,Pride Food Mart,1734 E Apache Blvd,,Tempe,AZ,85281,5958,MARICOPA,-111.90952,33.414875,550,040133191032005,04013319103
627,Caribbean Oasis,2958 N 16th St,,Phoenix,AZ,85016,7606,MARICOPA,-112.04771,33.481934,628,040131106004015,04013110600
652,Carniceria Ponderosa,2340 E Union Hills Dr,,Phoenix,AZ,85024,3024,MARICOPA,-112.03141,33.65506,653,040136169002003,04013616900
935,Big Az Market  1 1,4127 N 411th Ave,,Tonopah,AZ,85354,6761,MARICOPA,-112.93691,33.494648,936,040130506032029,04013050603
1033,Dollar General 20850,7265 E Concho Dr,,Kingman,AZ,86401,9166,MOHAVE,-113.85536,35.382847,1034,040159504021119,04015950402
1237,Morgan Store Llc,11120 S Somerton Ave,,Yuma,AZ,85365,9800,YUMA,-114.7114,32.668819,1238,040270110002012,04027011000
1376,TRADER JOE'S ASU 91,940 E University Dr,Ste E105,Tempe,AZ,85281,6494,MARICOPA,-111.92548,33.422081,1377,040133184002052,04013318400
1477,Dollar Tree 7090,25410 S Arizona Ave,Ste 166,Sun Lakes,AZ,85248,7846,MARICOPA,-111.84131,33.216469,1478,040138137002028,04013813700
1753,Cave Creek Mini Mart,17027 N Cave Creek Rd,,Phoenix,AZ,85032,2419,MARICOPA,-112.03043,33.64156,1754,040136195003007,04013619500
1813,Desi Plaza,1037 E Lemon St,,Tempe,AZ,85281,3903,MARICOPA,-111.92371,33.416733,1814,040133191011001,04013319101
1823,QuikTrip 488,4949 N 51st Ave,,Phoenix,AZ,85031,,MARICOPA,-112.16873,33.509445,1824,040131093001005,04013109300
1940,Carniceria Uruapan Llc,7011 N 55th Ave,,Glendale,AZ,85301,2511,MARICOPA,-112.17735,33.539093,1941,040130925002027,04013092500
1997,BC Produce LLC 1,4845 W McDowell Rd,Ste 70a,Phoenix,AZ,85035,4081,MARICOPA,-112.16345,33.465076,1998,040131125071001,04013112507
2106,Isra Food Market 1,1610 N 36th St,,Phoenix,AZ,85008,3944,MARICOPA,-112.00426,33.466068,2107,040131114012014,04013111401
2139,Walmart Supercenter 6480,3460 W Chandler Blvd,,Chandler,AZ,85226,5065,MARICOPA,-111.90125,33.305752,2140,040138107002020,04013810700
2462,Sunlite Market 1,13350 S Sunland Gin Rd,,Arizona City,AZ,85123,8451,PINAL,-111.67113,32.758972,2463,040210021012038,04021002101
2486,SAFEWAY 1253,23565 N Scottsdale Rd,,Scottsdale,AZ,85255,3463,MARICOPA,-111.92525,33.700928,2487,040132168401023,04013216840
2502,JOHN'S RANCHO MARKET,4447 S 15th Ave,,Phoenix,AZ,85041,2353,MARICOPA,-112.09042,33.405476,2503,040131157001001,04013115700
2552,Diamond R Liquor Outlet,402 E Prince Rd,,Tucson,AZ,85705,3998,PIMA,-110.96535,32.272022,2553,040190026032000,04019002603
2575,SPEEDWAY MARKET 2,1943 E Oak St,,Phoenix,AZ,85006,1850,MARICOPA,-112.0402,33.472862,2576,040131116022000,04013111602
2686,QuikTrip 1411,3605 W Glendale Ave,,Phoenix,AZ,85051,8334,MARICOPA,-112.13667,33.538471,2687,040131070001000,04013107000
2724,Shamrock Foodservice Warehouse 550,2430 W Indian School Rd,,Phoenix,AZ,85015,4932,MARICOPA,-112.11206,33.495148,2725,040131090034003,04013109003
2804,Food City 94,3442 W Van Buren St,,Phoenix,AZ,85009,4708,MARICOPA,-112.13351,33.451477,2805,040131127003019,04013112700
2902,I-mart,1250 N Alma School Rd,Ste 28,Chandler,AZ,85224,2988,MARICOPA,-111.85922,33.322769,2903,040135230051017,04013523005
2993,Quick Cash Market,1107 N Mesa Dr,,Mesa,AZ,85201,3502,MARICOPA,-111.82266,33.43531,2994,040134209012008,04013420901
2999,Family Dollar Store 11149,4130 E John L Ave,,Kingman,AZ,86409,,MOHAVE,-113.9758,35.255322,3000,040159507052007,04015950705
3146,Shell 24,5904 W Greenway Rd,,Glendale,AZ,85306,3202,MARICOPA,-112.18601,33.625237,3147,040131042155017,04013104215
3148,Shell 48,1673 W. Hwy 260,,Camp Verde,AZ,86322,,YAVAPAI,-111.88235,34.574936,3149,040250016013053,04025001601
3150,Shell 60,8233 E. Hwy 89,,Prescott Valley,AZ,86312,,YAVAPAI,-112.28298,34.652718,3151,040250019004202,04025001900
3452,Dreamers Rv Park Store,54000 Highway 60,,Salome,AZ,85348,3603,LA PAZ,-113.81919,33.708241,3453,040120205011089,04012020501
3585,Shell 11,18183 US Highway 93,,Wikieup,AZ,85360,9600,MOHAVE,-113.60959,34.69965,3586,040159548002720,04015954800
3960,Roberts Market Place Inc,6450 N Viewpoint Dr,,Prescott Valley,AZ,86314,3222,YAVAPAI,-112.33321,34.635643,3961,040250006051007,04025000605
4027,Circle K 2723452,3030 N Dobson Rd,,Mesa,AZ,85224,1238,MARICOPA,-111.87656,33.351151,4028,040134222181010,04013422218
4505,Suzy Q Market,962 S Main St,,Cottonwood,AZ,86326,4607,YAVAPAI,-112.00474,34.722839,4506,040250020031035,04025002003
4534,Dollar General 14375,6600 W Van Buren St,,Phoenix,AZ,85043,5030,MARICOPA,-112.20223,33.45163,4535,040131125054008,04013112505
4791,Two Brothers Market,5508 N 43rd Ave,,Glendale,AZ,85301,6405,MARICOPA,-112.15158,33.517479,4792,040130931014029,04013093101
4885,Em Valero (Scottsdale Minimart),6842 E Thomas Rd,,Scottsdale,AZ,85251,6800,MARICOPA,-111.93282,33.480328,4886,040132175022013,04013217502
4984,Dollar Tree 4458,1543 E State Route 89a,,Cottonwood,AZ,86326,4502,YAVAPAI,-112.01084,34.728573,4985,040250020011039,04025002001
4989,Walgreens 09460,40663 N Gantzel Rd,,San Tan Valley,AZ,85140,7008,PINAL,-111.56319,33.248268,4990,040210002051000,04021000205
5119,AZ Market & Liquor,16420 N 32nd St,,Phoenix,AZ,85032,3102,MARICOPA,-112.01351,33.635742,5120,040131033042000,04013103304
5173,Family Dollar 8531,4725 E Southern Ave,,Phoenix,AZ,85042,4150,MARICOPA,-111.97968,33.392735,5174,040131162022001,04013116202
5510,Sierra Vista Natural Foods Co-op,96 S. Carmichael Ave.,,Sierra Vista,AZ,85635,,COCHISE,-110.2998,31.553244,5511,040030015011046,04003001501
5513,Arco Food Mart,7501 W Peoria Ave,,Peoria,AZ,85345,5918,MARICOPA,-112.2208,33.581356,5514,040130719111000,04013071911
5561,Papa Murphy's Pizza AZ083,9160 S Houghton Rd,Ste 160,Tucson,AZ,85747,9740,PIMA,-110.77275,32.085064,5562,040190040741017,04019004074
5734,Lucky's Favor African Market,6220 N 43rd Ave,,Glendale,AZ,85301,5407,MARICOPA,-112.15153,33.526726,5735,040130930022010,04013093002
5761,7-Eleven 19650E,4748 E McDowell Rd,,Phoenix,AZ,85008,4510,MARICOPA,-111.97922,33.465778,5762,040131113004014,04013111300
5968,Stanford General Store,4CR 8235 Stanford Rd,,Concho,AZ,85924,9467,APACHE,-109.83107,34.409348,5969,040019702001718,04001970200
6070,QuikTrip 0423,13067 W Thomas Rd,,Avondale,AZ,85392,,MARICOPA,-112.34031,33.478756,6071,040130610151014,04013061015
6263,Circle K 2723403,1850 W Happy Valley Rd,,Phoenix,AZ,85085,,MARICOPA,-112.09913,33.712955,6264,040136123001165,04013612300
6264,Circle K 2723406,1025 E Ajo Way,,Tucson,AZ,85713,,PIMA,-110.95581,32.177933,6265,040190022011017,04019002201
6274,"Maverik, Inc 387",2110 N Park Dr,,Winslow,AZ,86047,9505,NAVAJO,-110.69783,35.04171,6275,040179604001085,04017960400
6319,Speedway 2891,2161 W Route 66,,Flagstaff,AZ,86001,8439,COCONINO,-111.68092,35.187725,6320,040050011022022,04005001102
6378,Dollar General 18019,20 S Lee St,,Saint David,AZ,85630,,COCHISE,-110.21552,31.905043,6379,040030003022000,04003000302
6410,QuikTrip 442,2010 S Arizona Ave,,Chandler,AZ,85286,7719,MARICOPA,-111.84171,33.27589,6411,040138123002000,04013812300
6418,Minute Liquors,2355 S 16th St,,Phoenix,AZ,85034,5624,MARICOPA,-112.04775,33.424591,6419,040131172001062,04013117200
6649,7-eleven 27370D,1310 E Broadway Rd,Ste 101,Tempe,AZ,85282,1669,MARICOPA,-111.91727,33.407642,6650,040133191042000,04013319104
6782,Walgreens 13870,4875 E Elliot Rd,,Phoenix,AZ,85044,1715,MARICOPA,-111.97883,33.348862,6783,040131167082000,04013116708
6786,Family Dollar Store 9117,400 N 67th Ave,,Phoenix,AZ,85043,,MARICOPA,-112.20351,33.453388,6787,040131125081009,04013112508
6839,7-Eleven 26085E,1850 W Glendale Ave,,Phoenix,AZ,85021,8543,MARICOPA,-112.09915,33.538647,6840,040131061003007,04013106100
6894,Rincon Valley Farmers And Artisans Market,12500 E Old Spanish Trl,,Tucson,AZ,85747,9649,PIMA,-110.72338,32.128414,6895,040190040641046,04019004064
7098,Speedway 3007,HWY 63,,CHINLE,AZ,86503,,APACHE,-109.60286,36.283825,7099,040019442021008,04001944202
7099,Speedway 3005,HWY 264,,GANADO,AZ,86505,,APACHE,-109.80715,35.762726,7100,040019449021443,04001944902
7152,Walgreens 06527,710 E Camelback Rd,,Phoenix,AZ,85014,3657,MARICOPA,-112.06442,33.509289,7153,040131076013024,04013107601
7307,Dollar General Store 14104,15440 W Ajo Hwy,,Tucson,AZ,85735,,PIMA,-111.29506,32.084007,7308,040190044241052,04019004424
7328,Speedway 2988,201 N Haskell Ave,,Willcox,AZ,85643,2121,COCHISE,-109.83147,32.253963,7329,040030002023089,04003000202
7379,Best Deals A To Z,6301 E Copper Hill Dr,,Prescott Valley,AZ,86314,2907,YAVAPAI,-112.35435,34.582073,7380,040250006053010,04025000605
7465,Hilltop Groceries,3726 London Bridge Rd,,Lake Havasu City,AZ,86404,9772,MOHAVE,-114.36629,34.542694,7466,040159524001057,04015952400
7475,Red Mesa Express 532,NW Corner Navajo Rt 15 & Navajo Rt 60,,Dilkon,AZ,86047,,NAVAJO,-109.85741,35.524021,7476,040179400141270,04017940014
7490,SUPER SAM'S SUPERMARKET,9201 S 7th Ave,,Phoenix,AZ,85041,8701,MARICOPA,-112.08324,33.36298,7491,040131167321008,04013116732
7569,Tolleson Market,9312 W Van Buren St,,Tolleson,AZ,85353,2803,MARICOPA,-112.26052,33.450359,7570,040130830002047,04013083000
7631,Dollar Tree 5048,805 S Cotton Ln,,Goodyear,AZ,85338,4641,MARICOPA,-112.42677,33.439301,7632,040130610221021,04013061022
7659,Chaparrall,500 High St,,Duncan,AZ,85534,,GREENLEE,-109.10131,32.716099,7660,040119603003047,04011960300
7690,Walgreens 03657,3361 N Litchfield Rd,,Goodyear,AZ,85395,2125,MARICOPA,-112.36243,33.485439,7691,040130610203003,04013061020
7838,Pescaderia El Puerto Guaymas 2,1241 E Broadway Rd,Ste 20,Mesa,AZ,85204,2254,MARICOPA,-111.80377,33.407902,7839,040134218023004,04013421802
7866,AZ Karen-Asian Market,5270 N 59th Ave,Ste 16,Glendale,AZ,85301,6764,MARICOPA,-112.18637,33.513435,7867,040130931062006,04013093106
8075,Dave's Fast Stop,3933 N Robert Rd,,Prescott Valley,AZ,86314,8164,YAVAPAI,-112.3213,34.599808,8076,040250006062004,04025000606
8088,Circle K 2723405,2120 W Northern Ave,,Phoenix,AZ,85021,,MARICOPA,-112.1046,33.553165,8089,040131055032000,04013105503
8089,Circle K 2723392,8277 W Olive Ave,,Peoria,AZ,85345,,MARICOPA,-112.23708,33.566483,8090,040130932002006,04013093200
8167,Circle K 2725400,7351 W Chandler Blvd,,Chandler,AZ,85226,3202,MARICOPA,-111.96803,33.305172,8168,040139804001018,04013980400
8284,Walgreens 04045,4685 E Grant Rd,,Tucson,AZ,85712,2618,PIMA,-110.89312,32.250687,8285,040190029011009,04019002901
8319,KWIK MART & LIQUOR,2650 W Glenrosa Ave,Ste 13 Ave14,Phoenix,AZ,85017,4387,MARICOPA,-112.11662,33.498611,8320,040131090012002,04013109001
8334,Walgreens 04909,2921 N 83rd Ave,,Phoenix,AZ,85033,4761,MARICOPA,-112.23781,33.480553,8335,040131097022012,04013109702
8351,Walgreens 2232,313 W Esperanza Blvd,,Green Valley,AZ,85614,2708,PIMA,-110.99624,31.870295,8352,040190043302001,04019004330
8414,Butler Easy Mart 1,1311 E Butler Ave,,Flagstaff,AZ,86001,5920,COCONINO,-111.63519,35.191689,8415,040050008003066,04005000800
8453,Walgreens 05668,8301 W Camelback Rd,,Phoenix,AZ,85037,1257,MARICOPA,-112.2384,33.508774,8454,040130820083000,04013082008
8454,Walmart Supercenter 1230,5401 S White Mountain Rd,,Show Low,AZ,85901,7849,NAVAJO,-110.01834,34.200085,8455,040179617004051,04017961700
8516,Lam's Supermarket,6740 W Indian School Rd,,Phoenix,AZ,85033,3225,MARICOPA,-112.20461,33.494846,8517,040131096022020,04013109602
8598,Walgreens 4764,5455 E Speedway Blvd,,Tucson,AZ,85712,4923,PIMA,-110.87614,32.236279,8599,040190031024000,04019003102
8600,Walgreens 01969,6006 N 67th Ave,,Glendale,AZ,85301,4902,MARICOPA,-112.20316,33.523968,8601,040130927182008,04013092718
8667,Walmart Supercenter 1646,6131 E Southern Ave,,Mesa,AZ,85206,3734,MARICOPA,-111.69912,33.393826,8668,040134226393005,04013422639
8788,Walmart Supercenter 1612,1650 W Valencia Rd,,Tucson,AZ,85746,6021,PIMA,-111.00169,32.133938,8789,040190025062004,04019002506
8955,Speedway 3008,HWY 191 & 64,,CHINLE,AZ,86503,,APACHE,-109.62362,36.091755,8956,040019442012040,04001944201
8957,Speedway 3004,JUNCTION HWY 160 & 163,,KAYENTA,AZ,86033,,NAVAJO,-110.41938,36.660816,8958,040179424001666,04017942400
9113,Circle K 2723410,2275 S Buffalo Soldier Trl,,Sierra Vista,AZ,85635,6429,COCHISE,-110.29019,31.527756,9114,040030018002032,04003001800
9210,Corner Store 2741665,10335 E Drexel Rd,,Tucson,AZ,85747,9405,PIMA,-110.772,32.147999,9211,040190040631021,04019004063
9337,Family Dollar 8644,4239 W McDowell Rd,Ste 24,Phoenix,AZ,85009,,MARICOPA,-112.14997,33.465942,9338,040131126011001,04013112601
9403,Pilot Travel Center 611,6700 W Latham St,,Phoenix,AZ,85043,1400,MARICOPA,-112.20573,33.460136,9404,040131125081001,04013112508
9407,QuikTrip 1470,1375 W Ajo Way,,Tucson,AZ,85713,5786,PIMA,-110.99378,32.17778,9408,040190025041003,04019002504
9523,Speedy Stop Food Store,5033 S 16th St,,Phoenix,AZ,85040,2331,MARICOPA,-112.04721,33.400318,9524,040131160003016,04013116000
10008,"Sunnyside Chevron, Llc",2205 N 4th St,,Flagstaff,AZ,86004,4231,COCONINO,-111.61353,35.210457,10009,040050003003000,04005000300
10255,QuikTrip 1420,1190 W Elliot Rd,,Tempe,AZ,85284,1107,MARICOPA,-111.95866,33.349255,10256,040133200013013,04013320001
10383,Market Basket,5242 S 12th Ave,,Tucson,AZ,85706,2340,PIMA,-110.97757,32.156765,10384,040190038024004,04019003802
10430,Guss Liquor Store II,4302 E Grant Rd,,Tucson,AZ,85712,2607,PIMA,-110.90093,32.250591,10431,040190029011013,04019002901
10582,Walmart Express 4060,671 E Apache Blvd,Ste 128,Tempe,AZ,85281,6718,MARICOPA,-111.92874,33.414631,10583,040133190001000,04013319000
10634,CVS Pharmacy 8983,5125 W Olive Ave,,Glendale,AZ,85302,,MARICOPA,-112.16969,33.567467,10635,040130923074000,04013092307
10641,99 Cent Only Store 426,1045 S Gilbert Rd,,Mesa,AZ,85204,,MARICOPA,-111.78821,33.396503,10642,040134225024016,04013422502
10701,Dollar General 17583,6780 N Sandario Rd,,Tucson,AZ,85743,8774,PIMA,-111.21812,32.326958,10702,040190044232016,04019004423
10782,Lim Bong Llc,688 W Grant Rd,,Tucson,AZ,85705,5423,PIMA,-110.98203,32.250324,10783,040190013033007,04019001303
10796,Don Filo's Market,7620 E McKellips Rd,Ste 7,Scottsdale,AZ,85257,4600,MARICOPA,-111.91608,33.45129,10797,040132182002009,04013218200
10800,Murrieta's Carniceria 3,4340 West Mcdowell Road,,Phoenix,AZ,85035,,MARICOPA,-112.1529,33.466026,10801,040131123011002,04013112301
