,Census Tract,Unnamed: 0,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId,FIPS,Store_Type,distance,bus_stops,store_count
0,04013010101,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
1,04013010102,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
2,04013030401,189771.0,Bashas' 66,36889 TOM DARLINGTON,,CAREFREE,AZ,85377.0,,MARICOPA,-111.92428000000001,33.821388,189772.0,40100000000000.0,GroceryStore,3.989204532391526,0.0,1.0
3,04013030402,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
4,04013040502,210873.0,Bashas' 55,275 N Tegner,#17,Wickenburg,AZ,85358.0,,MARICOPA,-112.73236999999999,33.970596,210874.0,40100000000000.0,GroceryStore,3.989204532391526,0.0,1.0
5,04013040502,188577.0,Maverik 600,784 W Wickenburg Way,,Wickenburg,AZ,85390.0,,MARICOPA,-112.74516000000001,33.965934999999995,188578.0,40100000000000.0,Market,3.989204532391526,0.0,1.0
6,04013040502,212167.0,SAFEWAY  1584,1999 W Wickenburg Way,,Wickenburg,AZ,85390.0,2205.0,MARICOPA,-112.77168,33.962177000000004,212168.0,40100000000000.0,GroceryStore,3.989204532391526,0.0,1.0
7,04013040506,161405.0,Frys 86,19403 N R H Johnson Blvd,,Sun City West,AZ,85375.0,4404.0,MARICOPA,-112.35383,33.659176,161406.0,40100000000000.0,GroceryStore,3.989204532391526,0.0,1.0
8,04013040507,115124.0,ALBERTSONS 977,14551 W GRAND AVE,,SURPRISE,AZ,85375.0,,MARICOPA,-112.38252,33.663940000000004,115125.0,40100000000000.0,GroceryStore,3.989204532391526,0.0,1.0
9,04013040507,49272.0,Bashas' 128,13940 W Meeker Blvd,,Sun City,AZ,85375.0,4492.0,MARICOPA,-112.35999,33.660618,49273.0,40100000000000.0,GroceryStore,3.989204532391526,0.0,1.0
10,04013040507,213678.0,SAFEWAY 2054,13503 W Camino del Sol,,Sun City West,AZ,85375.0,4439.0,MARICOPA,-112.35106999999999,33.656719,213679.0,40100000000000.0,GroceryStore,3.989204532391526,0.0,1.0
11,04013040512,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
12,04013040513,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
13,04013040514,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
14,04013040515,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
15,04013040516,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
16,04013040517,164171.0,Wells Country Store,21844 W Harding St,,Wittmann,AZ,85361.0,9748.0,MARICOPA,-112.53327,33.780304,164172.0,40100000000000.0,Market,3.989204532391526,0.0,1.0
17,04013040518,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
18,04013040519,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
19,04013040520,97261.0,Safeway 2799,28455 N Vistancia Blvd,,Peoria,AZ,85383.0,2087.0,MARICOPA,-112.32201,33.740223,97262.0,40100000000000.0,GroceryStore,3.989204532391526,0.0,1.0
20,04013040521,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
21,04013040522,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
22,04013040523,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
23,04013040524,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
24,04013040525,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
25,04013040526,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
26,04013040527,139324.0,Fry's 680,15215 N Cotton Ln,Attn: Connie Tanner,Surprise,AZ,85374.0,,MARICOPA,-112.42671000000001,33.645988,139325.0,40100000000000.0,GroceryStore,3.989204532391526,0.0,1.0
27,04013040528,34672.0,FRY'S 61,15510 W Bell Rd,,Surprise,AZ,85374.0,3436.0,MARICOPA,-112.39515,33.638809,34673.0,40100000000000.0,GroceryStore,3.989204532391526,0.0,1.0
28,04013040529,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
29,04013040530,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
30,04013040531,199367.0,Trader Joes 92,14095 W Grand Ave,,Surprise,AZ,85374.0,2441.0,MARICOPA,-112.36388000000001,33.649033,199368.0,40100000000000.0,Pricey,3.989204532391526,0.0,1.0
31,04013040531,35570.0,Walmart Supercenter 2777,13770 W Bell Rd,,Surprise,AZ,85374.0,3865.0,MARICOPA,-112.35596000000001,33.638763,35571.0,40100000000000.0,GroceryStore,3.989204532391526,0.0,1.0
32,04013050603,197830.0,Rio Valley Market,315 S 515th Ave,,Tonopah,AZ,85354.0,7105.0,MARICOPA,-113.16188999999999,33.445229,197831.0,40100000000000.0,Market,3.989204532391526,0.0,1.0
33,04013050604,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
34,04013050605,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
35,04013050606,194444.0,Bashas' 56,21064 W Main St,,Buckeye,AZ,85396.0,3502.0,MARICOPA,-112.51263,33.495964,194445.0,40100000000000.0,GroceryStore,2.6752420228361986,1.0,1.0
36,04013050607,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
37,04013050608,86839.0,Fry's 675,1300 S Watson Rd,,Buckeye,AZ,85326.0,6303.0,MARICOPA,-112.55643,33.434368,86840.0,40100000000000.0,GroceryStore,0.09213545339842388,2.0,1.0
38,04013050608,94352.0,Walmart SuperCenter 3407,1060 S Watson Rd,,Buckeye,AZ,85326.0,3371.0,MARICOPA,-112.5565,33.437107,94353.0,40100000000000.0,GroceryStore,0.10297692144662027,2.0,1.0
39,04013050609,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
40,04013050610,,,,,,,,,,,,,,,3.989204532391526,1.0,0.0
41,04013050611,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
42,04013050701,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
43,04013050702,136590.0,Kash K Market 1,101 E Monroe Ave,,Buckeye,AZ,85326.0,2702.0,MARICOPA,-112.59045,33.370216,136591.0,40100000000000.0,Market,0.2534726492011724,3.0,1.0
44,04013050702,47183.0,The Butcher & Farmer Marketplace,224 E Monroe Ave,,Buckeye,AZ,85326.0,2701.0,MARICOPA,-112.58899,33.370521999999994,47184.0,40100000000000.0,Market,0.2581081985732617,3.0,1.0
45,04013060801,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
46,04013060802,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
47,04013060901,156551.0,Food City 89,12321 NW Grand Ave,,El Mirage,AZ,85335.0,3046.0,MARICOPA,-112.32516000000001,33.618626,156552.0,40100000000000.0,GroceryStore,3.989204532391526,0.0,1.0
48,04013060901,169024.0,J Castillo Carniceria,13011 W Greenway Rd,,El Mirage,AZ,85335.0,9787.0,MARICOPA,-112.34048,33.623463,169025.0,40100000000000.0,Market,3.989204532391526,0.0,1.0
49,04013060902,144746.0,Super Carniceria Uruapan 3,11926 W Thunderbird Rd,,El Mirage,AZ,85335.0,8311.0,MARICOPA,-112.31801000000002,33.608948,144747.0,40100000000000.0,Market,0.22853581302803083,2.0,1.0
50,04013060902,100875.0,Walmart SuperCenter 4336,12900 W Thunderbird Rd,,El Mirage,AZ,85335.0,5945.0,MARICOPA,-112.33652,33.609058000000005,100876.0,40100000000000.0,GroceryStore,0.04189314115093592,2.0,1.0
51,04013060903,40801.0,Maggie's Market 1,12017 W Thunderbird Rd,,El Mirage,AZ,85335.0,8309.0,MARICOPA,-112.31931000000002,33.608897999999996,40802.0,40100000000000.0,Market,0.1435965799705078,1.0,1.0
52,04013060904,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
53,04013061009,244032.0,ALDI 79161,845 N Estrella Pkwy,,Goodyear,AZ,85338.0,3031.0,MARICOPA,-112.39238,33.455559,244033.0,40100000000000.0,GroceryStore,0.6112474036509058,4.0,1.0
54,04013061009,186247.0,SAFEWAY  2618,440 N Estrella Pkwy,,Goodyear,AZ,85338.0,2880.0,MARICOPA,-112.39263000000001,33.451401000000004,186248.0,40100000000000.0,GroceryStore,0.8981475762804431,4.0,1.0
55,04013061009,79504.0,Walmart SuperCenter 5369,1100 N Estrella Pkwy,,Goodyear,AZ,85338.0,2808.0,MARICOPA,-112.39262,33.459152,79505.0,40100000000000.0,GroceryStore,0.3663253165929332,4.0,1.0
56,04013061010,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
57,04013061011,190831.0,Bashas' 130,5115 N Dysart Rd,Ste 150,Litchfield Park,AZ,85340.0,3034.0,MARICOPA,-112.34078999999998,33.509983,190832.0,40100000000000.0,GroceryStore,1.8310076487116127,11.0,1.0
